,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
SRX3456067,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360005,SRP126360,PRJNA421560,421560,SRS2744764,SAMN08146614,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814934,GSE107835,GSM2881314,30682134,8146614,14028s,wild type,NC_016856.1;NC_016855.1,csrA,5min_LB_WT,0min_LB_WT,WT,LB,,,Aerobic,,37C,,mid-log,0.5,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,2.0,1,5min_LB_WT_2,,,True,True,True,csrA:5min_LB_WT,True,True
SRX1816879,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621144,SRP076025,PRJNA324247,324247,SRS1479638,SAMN05199056,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597742,GSE82167,GSM2185229,30201777,5199056,14028S,rtcB,NC_016856.1;NC_016855.1,MMC,del_rtcB_3mM_MMC,WT_No_treatment,del_rtcB,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,rtcB,,2.0,1,del_rtcB_MMC_2,,,True,True,True,MMC:del_rtcB_3mM_MMC,True,True
SRX7514172,1/7/20 14:24,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843517,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810552,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,0_Novobiocin_10min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,0_N_10min_1,,,True,True,True,novobiocin:0_Novobiocin_10min,True,True
SRX3456061,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6359999,SRP126360,PRJNA421560,421560,SRS2744758,SAMN08146620,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814928,GSE107835,GSM2881308,30682134,8146620,14028s,wild type,NC_016856.1;NC_016855.1,csrA,2.5min_LB_WT,0min_LB_WT,WT,LB,,,Aerobic,,37C,,mid-log,0.5,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,1.0,1,2.5min_LB_WT_1,,,True,True,True,csrA:2.5min_LB_WT,True,True
SRX7476255,12/30/19 5:05,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10802358,SRP239035,PRJNA554270,554270,SRS5919903,SAMN02604137,SRA1017641,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9771445,,,,2604137,14028S,wild type,NC_016856.1;NC_016855.1,starvation,High_4h,Glucose_6h,WT,AB,None,NH4Cl,Anaerobic,"mineral carbon  and  phosphorus  deficient  AB  medium  containing  1.0 g/L  NH4Cl;  0.62  g/L MgSO4 ×  7H2O;  0.15  g/L  KCl;  0.013  g/L  CaCl2 ×  2H2O;  0.005  g/L  FeSO4 ×  7H2O,  pH – 5.5",28C,5.5,growth,,https://www.sciencedirect.com/science/article/pii/S2352340920309021#tbl0002,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,2.0,1,High_4h_2,,,True,True,True,starvation:High_4h,True,True
SRX7476247,12/30/19 5:05,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10802366,SRP239035,PRJNA554270,554270,SRS5919903,SAMN02604137,SRA1017641,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9771437,,,,2604137,14028S,wild type,NC_016856.1;NC_016855.1,starvation,High_4d,Glucose_6h,WT,AB,None,NH4Cl,Anaerobic,"mineral carbon  and  phosphorus  deficient  AB  medium  containing  1.0 g/L  NH4Cl;  0.62  g/L MgSO4 ×  7H2O;  0.15  g/L  KCl;  0.013  g/L  CaCl2 ×  2H2O;  0.005  g/L  FeSO4 ×  7H2O,  pH – 5.5",28C,5.5,stationary,,https://www.sciencedirect.com/science/article/pii/S2352340920309021#tbl0002,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,2.0,1,High_4d_2,,,True,True,True,starvation:High_4d,True,True
ERX321083,10/16/13 0:49,1114957,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,1114957,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR348249,ERP003981,PRJEB4670,222541,ERS353270,SAMEA2201299,ERA252206,RNA-Seq,cDNA,TRANSCRIPTOMIC,,University at Buffalo,0,0,515456,,,24272778,2371138,14028s,wild type,NC_016856.1;NC_016855.1,araC,WT_LB,WT_LB,WT,LB,,,Aerobic,,37C,,,0.6-0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028s Wu,,WT,ChIP-Seq,2.0,1,WT_LB_2,,,True,True,True,araC:WT_LB,True,True
SRX7514171,1/7/20 14:24,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843518,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810551,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,500_Novobiocin_20min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,3.0,1,500_N_20min_3,,,True,True,True,novobiocin:500_Novobiocin_20min,True,True
SRX4029144,11/17/18 11:42,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,SRR7100803,SRP144428,PRJNA454802,454802,SRS3248750,SAMN09041739,SRA699121,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5502995,GSE113988,GSM3127889,30373755,9041739,14028S,ΔSTM14_1829 ,NC_016856.1;NC_016855.1,flagellum,ΔSTM14_1829 ,WT,ΔSTM14_1829 ,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,ΔSTM14_1829 ,,1.0,1,flagellum_mutant_1,,,True,True,True,flagellum:ΔSTM14_1829 ,True,True
SRX976336,4/7/15 12:49,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR1950145;SRR1950146;SRR1950147,SRP056892,PRJNA280002,280002,SRS889654,SAMN03453225,SRA249497,RNA-Seq,size fractionation,TRANSCRIPTOMIC,,VACCINE AND INFECTIOUS DISEASE ORGANIZATION,75,0,1419684,,,25824832,3453225,ATCC 14028s,wild type,NC_016856.1;NC_016855.1,csgD,WT_planktonic_TP3,WT_planktonic_TP1,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. ATCC 14028s,,WT,,1.0,3 total,WT_planktonic_TP3,,,True,True,True,csgD:WT_planktonic_TP3,False,True
ERX1045684,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968709,ERP011094,PRJEB9939,293185,ERS795655,SAMEA3488506,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681374,,,27601571,3998235,14028s wild type,pBAD24,NC_016856.1;NC_016855.1,7TF,WT,WT,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,ChIP-Seq,1.0,1,WT_1,,,True,True,True,7TF:WT,True,True
ERX1045660,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968708,ERP011094,PRJEB9939,293185,ERS795631,SAMEA3488482,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681350,,,27601571,3998211,delta STM14_3463,pBAD24,NC_016856.1;NC_016855.1,7TF,del_sprB,WT,del_sprB,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,sprB,ChIP-Seq,1.0,1,del_sprB_1,,,True,True,True,7TF:del_sprB,True,True
SRX7514155,1/7/20 14:27,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843534,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810535,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,0_Novobiocin_20min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,3.0,1,0_N_20min_3,,,True,True,True,novobiocin:0_Novobiocin_20min,True,True
SRX976480,4/7/15 12:49,59201,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,59201,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR1950301;SRR1950304;SRR1950306,SRP056892,PRJNA280002,280002,SRS891589,SAMN03453230,SRA249497,RNA-Seq,size fractionation,TRANSCRIPTOMIC,,VACCINE AND INFECTIOUS DISEASE ORGANIZATION,75,0,1419828,,,25824832,3453230,ATCC14028s csgD mutant,csgD mutant,NC_016856.1;NC_016855.1,csgD,del_csgD_planktonic_TP3,WT_planktonic_TP1,del_csgD,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. ATCC 14028s,,csgD,,1.0,3 total,del_csgD_planktonic_TP3,,,True,True,True,csgD:del_csgD_planktonic_TP3,False,True
SRX7476254,12/30/19 5:05,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10802359,SRP239035,PRJNA554270,554270,SRS5919903,SAMN02604137,SRA1017641,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9771444,,,,2604137,14028S,wild type,NC_016856.1;NC_016855.1,starvation,High_4h,Glucose_6h,WT,AB,None,NH4Cl,Anaerobic,"mineral carbon  and  phosphorus  deficient  AB  medium  containing  1.0 g/L  NH4Cl;  0.62  g/L MgSO4 ×  7H2O;  0.15  g/L  KCl;  0.013  g/L  CaCl2 ×  2H2O;  0.005  g/L  FeSO4 ×  7H2O,  pH – 5.5",28C,5.5,growth,,https://www.sciencedirect.com/science/article/pii/S2352340920309021#tbl0002,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,High_4h_1,,,True,True,True,starvation:High_4h,True,True
SRX1816878,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621143,SRP076025,PRJNA324247,324247,SRS1479637,SAMN05199055,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597741,GSE82167,GSM2185228,30201777,5199055,14028S,rtcB,NC_016856.1;NC_016855.1,MMC,del_rtcB_3mM_MMC,WT_No_treatment,del_rtcB,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,rtcB,,1.0,1,del_rtcB_MMC_1,,,True,True,True,MMC:del_rtcB_3mM_MMC,True,True
SRX8370456,2020-05-21 16:32:35,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR11819506,SRP262500,PRJNA634123,634123,SRS6685741,SAMN14984205,SRA1077628,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,10887653,GSE150943,GSM4561645,,14984205,14028S,wild type,NC_016856.1;NC_016855.1,Nontyphoidal_comparisons,rep,rep,,LB,,,Aerobic,,37C,,Late-log,,,Salmonella enterica subsp. enterica serovar Typhimurium str. ATCC 14028s,,,,1.0,1,rep1,,,True,True,True,Nontyphoidal_comparisons:rep,True,True
SRX2949969,2/16/18 16:58,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,PAIRED,ILLUMINA,NextSeq 500,SRR5749730,SRP110259,PRJNA391690,391690,SRS2308435,SAMN07271143,SRA580482,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4210556,GSE100414,GSM2680538,28874555,7271143,14028S,mgtC mutant,NC_016856.1;NC_016855.1,mgtCBR,mgtC_pBAD113,empty_pBAD18,mgtC mutant,N-minimal,,,Aerobic,"0.1% casamino acids, 38 mM glycerol,10 mM Mg2+",37C,,log,,Treatment: 15 min in N-minimal containing 0.5 mM Mg2+ and 10 mM l-arabinose. ,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,,1.0,1,mgtC_mut_1,,,True,True,True,mgtCBR:mgtC_pBAD113,True,True
SRX976335,4/7/15 12:49,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR1950140;SRR1950141;SRR1950142,SRP056892,PRJNA280002,280002,SRS889654,SAMN03453225,SRA249497,RNA-Seq,size fractionation,TRANSCRIPTOMIC,,VACCINE AND INFECTIOUS DISEASE ORGANIZATION,75,0,1419683,,,25824832,3453225,ATCC 14028s,wild type,NC_016856.1;NC_016855.1,csgD,WT_planktonic_TP2,WT_planktonic_TP1,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. ATCC 14028s,,WT,,1.0,3 total,WT_planktonic_TP2,,,True,True,True,csgD:WT_planktonic_TP2,False,True
SRX3456065,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360003,SRP126360,PRJNA421560,421560,SRS2744761,SAMN08146616,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814932,GSE107835,GSM2881312,30682134,8146616,14028s,wild type,NC_016856.1;NC_016855.1,csrA,0min_LB_WT,0min_LB_WT,WT,LB,,,Aerobic,,37C,,mid-log,0.5,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,2.0,1,0min_LB_WT_2,,,True,True,True,csrA:0min_LB_WT,True,True
SRX7514161,1/7/20 14:27,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843528,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810541,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,0_Novobiocin_60min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,3.0,1,0_N_60min_3,,,True,True,True,novobiocin:0_Novobiocin_60min,True,True
SRX3456064,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360002,SRP126360,PRJNA421560,421560,SRS2744759,SAMN08146617,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814931,GSE107835,GSM2881311,30682134,8146617,14028s,wild type,NC_016856.1;NC_016855.1,csrA,15min_LB_WT,0min_LB_WT,WT,LB,,,Aerobic,,37C,,mid-log,0.5,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,1.0,1,15min_LB_WT_1,,,True,True,True,csrA:15min_LB_WT,True,True
SRX1816868,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621133,SRP076025,PRJNA324247,324247,SRS1479627,SAMN05199045,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597731,GSE82167,GSM2185218,30201777,5199045,14028S,rtcR,NC_016856.1;NC_016855.1,MMC,del_rtcR_3mM_MMC,WT_No_treatment,del_rtcR,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,rtcR,,3.0,1,del_rtcR_MMC_3,,,True,True,True,MMC:del_rtcR_3mM_MMC,True,True
SRX1816866,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621131,SRP076025,PRJNA324247,324247,SRS1479625,SAMN05199043,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597729,GSE82167,GSM2185216,30201777,5199043,14028S,rtcR,NC_016856.1;NC_016855.1,MMC,del_rtcR_3mM_MMC,WT_No_treatment,del_rtcR,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,rtcR,,1.0,1,del_rtcR_MMC_1,,,True,True,True,MMC:del_rtcR_3mM_MMC,True,True
SRX7476244,12/30/19 5:05,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10802369,SRP239035,PRJNA554270,554270,SRS5919903,SAMN02604137,SRA1017641,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9771434,,,,2604137,14028S,wild type,NC_016856.1;NC_016855.1,starvation,Low_24h,Glucose_6h,WT,AB,None,NH4Cl,Anaerobic,"mineral carbon  and  phosphorus  deficient  AB  medium  containing  1.0 g/L  NH4Cl;  0.62  g/L MgSO4 ×  7H2O;  0.15  g/L  KCl;  0.013  g/L  CaCl2 ×  2H2O;  0.005  g/L  FeSO4 ×  7H2O,  pH – 5.5",28C,5.5,growth,,https://www.sciencedirect.com/science/article/pii/S2352340920309021#tbl0002,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,1.0,1,Low_24h_1,,,True,True,True,starvation:Low_24h,True,True
ERX1045664,8/18/15 5:44,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968682,ERP011094,PRJEB9939,293185,ERS795635,SAMEA3488486,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681354,,,27601571,3998215,delta STM14_5187,pBAD24,NC_016856.1;NC_016855.1,7TF,del_rtsB,WT,del_rtsB,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,rtsB,ChIP-Seq,1.0,1,del_rtsB_1,,,True,True,True,7TF:del_rtsB,True,True
ERX1045670,8/18/15 5:44,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968684,ERP011094,PRJEB9939,293185,ERS795641,SAMEA3488492,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681360,,,27601571,3998221,delta STM14_5188,pBAD24-STM14_5188,NC_016856.1;NC_016855.1,7TF,rtsA,WT,rtsA,LB,,,Aerobic,,37C,,,,rtsA deletion and overexpression,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,rtsA,ChIP-Seq,2.0,1,rtsA_2,,,True,True,True,7TF:rtsA,True,True
SRX7514173,1/7/20 14:24,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843516,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810553,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,0_Novobiocin_10min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,2.0,1,0_N_10min_2,,,True,True,True,novobiocin:0_Novobiocin_10min,True,True
SRX976343,4/7/15 12:49,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR1950213;SRR1950214;SRR1950215,SRP056892,PRJNA280002,280002,SRS891495,SAMN03453224,SRA249497,RNA-Seq,size fractionation,TRANSCRIPTOMIC,,VACCINE AND INFECTIOUS DISEASE ORGANIZATION,75,0,1419691,,,25824832,3453224,ATCC 14028s,wild type,NC_016856.1;NC_016855.1,csgD,WT_aggregate_TP3,WT_planktonic_TP1,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. ATCC 14028s,,WT,,1.0,3 total,WT_aggregate_TP3,,,True,True,True,csgD:WT_aggregate_TP3,False,True
SRX1462169,2/2/16 0:00,59201,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,59201,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR2976085,SRP066926,PRJNA304665,304665,SRS1189603,SAMN04305502,SRA314642,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"UNIVERSITY OF CALIFORNIA, IRVINE",300,100,2066950,,,26857569,4305502,Typhimurium,Wild type,NC_016856.1;NC_016855.1,14028S_paratyphiA,37C_stationary,37C_log,1,,,,,,37C,,stationary,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,,1.0,1,37C_stationary_1,,,True,True,True,14028S_paratyphiA:37C_stationary,True,True
ERX1045667,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968693,ERP011094,PRJEB9939,293185,ERS795638,SAMEA3488489,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681357,,,27601571,3998218,delta STM14_3498,pBAD24,NC_016856.1;NC_016855.1,7TF,del_invF,WT,del_invF,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,invF,ChIP-Seq,2.0,1,del_invF_2,,,True,True,True,7TF:del_invF,True,True
SRX3456085,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360023,SRP126360,PRJNA421560,421560,SRS2744782,SAMN08146641,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814952,GSE107835,GSM2881332,30682134,8146641,14028s,wild type,NC_016856.1;NC_016855.1,csrA,0min_mLPM_WT,0min_LB_WT,WT,mLPM,,,Aerobic,,37C,5.8,mid-log,0.3,mLPM favors SPI-2 expression,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,2.0,1,0min_mLPM_WT_2,,,True,True,True,csrA:0min_mLPM_WT,True,True
SRX3456079,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360017,SRP126360,PRJNA421560,421560,SRS2744777,SAMN08146647,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814946,GSE107835,GSM2881326,30682134,8146647,14028s,csrA:: (markerless deletion of CDS after 51st codon),NC_016856.1;NC_016855.1,csrA,15min_LB_csrA,0min_LB_WT,csrA mutant,LB,,,Aerobic,,37C,,mid-log,0.5,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,csrA mutant,,2.0,1,15min_LB_csrA_2,,,True,True,True,csrA:15min_LB_csrA,True,True
ERX1045675,8/18/15 5:44,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968680,ERP011094,PRJEB9939,293185,ERS795646,SAMEA3488497,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681365,,,27601571,3998226,delta STM14_3463,pBAD24-STM14_3463,NC_016856.1;NC_016855.1,7TF,sprB,WT,sprB,LB,,,Aerobic,,37C,,,,sprB deletion and overexpression,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,sprB,ChIP-Seq,2.0,1,sprB_2,,,True,True,True,7TF:sprB,True,True
