,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
SRX2409108,6/12/17 15:57,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5092217,SRP094837,PRJNA356844,356844,SRS1847347,SAMN06128018,SRA501889,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3501141,GSE91086,GSM2420815,28611217,6128018,SL1344,wild type,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,cold_shock_protein,WT_RNAseq,WT_RNAseq,WT,LB,,,Aerobic,,37C,,,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Human,WT,"RIP-Seq, dual-RNA-Seq",3,1,WT_RNAseq_3,,,True,True,True,cold_shock_protein:WT_RNAseq,True,True
SRX2409109,6/12/17 15:57,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5092218,SRP094837,PRJNA356844,356844,SRS1847348,SAMN06128017,SRA501889,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3501142,GSE91086,GSM2420816,28611217,6128017,SL1344,del_cspCE,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,cold_shock_protein,DeltaCspCE_RNAseq,WT_RNAseq,del_cspCE,LB,,,Aerobic,,37C,,,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Human,"cspC, cspE","RIP-Seq, dual-RNA-Seq",1,1,DeltaCspCE_RNAseq_1,,,True,True,True,cold_shock_protein:DeltaCspCE_RNAseq,True,True
SRX2409110,6/12/17 15:57,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5092219,SRP094837,PRJNA356844,356844,SRS1847349,SAMN06128016,SRA501889,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3501143,GSE91086,GSM2420817,28611217,6128016,SL1344,del_cspCE,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,cold_shock_protein,DeltaCspCE_RNAseq,WT_RNAseq,del_cspCE,LB,,,Aerobic,,37C,,,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Human,"cspC, cspE","RIP-Seq, dual-RNA-Seq",2,1,DeltaCspCE_RNAseq_2,,,True,True,True,cold_shock_protein:DeltaCspCE_RNAseq,True,True
SRX2409111,6/12/17 15:57,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5092220,SRP094837,PRJNA356844,356844,SRS1847350,SAMN06128015,SRA501889,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3501144,GSE91086,GSM2420818,28611217,6128015,SL1344,del_cspCE,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,cold_shock_protein,DeltaCspCE_RNAseq,WT_RNAseq,del_cspCE,LB,,,Aerobic,,37C,,,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,Human,"cspC, cspE","RIP-Seq, dual-RNA-Seq",3,1,DeltaCspCE_RNAseq_3,,,True,True,True,cold_shock_protein:DeltaCspCE_RNAseq,True,True
SRX2804001,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534473,SRP106960,PRJNA344670,344670,SRS2184239,SAMN05830566,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038729,,,29515658,5830566,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Chlortetracycline_0,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,1,1,5317_Chlortetracycline_0_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0,True,True
SRX2804004,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534470,SRP106960,PRJNA344670,344670,SRS2184242,SAMN05830561,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038732,,,29515658,5830561,1434,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,1434_Chlortetracycline_16,5317_Florfenicol_0,1434,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 1434,Cattle,,,2,1,1434_Chlortetracycline_16_2,,,True,True,True,Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16,True,True
SRX2804005,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534469,SRP106960,PRJNA344670,344670,SRS2184243,SAMN05830562,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038733,,,29515658,5830562,1434,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,1434_Chlortetracycline_16,5317_Florfenicol_0,1434,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 1434,Cattle,,,3,1,1434_Chlortetracycline_16_3,,,True,True,True,Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16,True,True
SRX2804006,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534468,SRP106960,PRJNA344670,344670,SRS2184244,SAMN05830559,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038734,,,29515658,5830559,1434,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,1434_Chlortetracycline_0,5317_Florfenicol_0,1434,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 1434,Cattle,,,3,1,1434_Chlortetracycline_0_3,,,True,True,True,Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_0,True,True
SRX2804007,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534467,SRP106960,PRJNA344670,344670,SRS2184245,SAMN05830560,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038735,,,29515658,5830560,1434,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,1434_Chlortetracycline_16,5317_Florfenicol_0,1434,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 1434,Cattle,,,1,1,1434_Chlortetracycline_16_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16,True,True
SRX2804008,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534466,SRP106960,PRJNA344670,344670,SRS2184246,SAMN05830573,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038736,,,29515658,5830573,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Chlortetracycline_32,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,2,1,5317_Chlortetracycline_32_2,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_32,True,True
SRX2804009,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534465,SRP106960,PRJNA344670,344670,SRS2184247,SAMN05830576,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038737,,,29515658,5830576,530,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,530_Florfenicol_0,5317_Florfenicol_0,530,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 530,Cattle,,,2,1,530_Florfenicol_0_2,,,True,True,True,Chlortetracycline_florfenicol_MDR:530_Florfenicol_0,True,True
SRX2804010,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534464,SRP106960,PRJNA344670,344670,SRS2184248,SAMN05830567,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038738,,,29515658,5830567,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Chlortetracycline_0,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,2,1,5317_Chlortetracycline_0_2,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0,True,True
SRX2804011,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534463,SRP106960,PRJNA344670,344670,SRS2184249,SAMN05830568,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038739,,,29515658,5830568,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Chlortetracycline_0,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,3,1,5317_Chlortetracycline_0_3,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0,True,True
SRX2804012,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534462,SRP106960,PRJNA344670,344670,SRS2184250,SAMN05830575,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038740,,,29515658,5830575,530,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,530_Florfenicol_0,5317_Florfenicol_0,530,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 530,Cattle,,,1,1,530_Florfenicol_0_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:530_Florfenicol_0,True,True
SRX2804013,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534461,SRP106960,PRJNA344670,344670,SRS2184251,SAMN05830570,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038741,,,29515658,5830570,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Chlortetracycline_16,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,2,1,5317_Chlortetracycline_16_2,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16,True,True
SRX2804014,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534460,SRP106960,PRJNA344670,344670,SRS2184252,SAMN05830569,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038742,,,29515658,5830569,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Chlortetracycline_16,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,1,1,5317_Chlortetracycline_16_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16,True,True
SRX2804015,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534459,SRP106960,PRJNA344670,344670,SRS2184253,SAMN05830572,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038743,,,29515658,5830572,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Chlortetracycline_32,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,1,1,5317_Chlortetracycline_32_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_32,True,True
SRX2804016,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534458,SRP106960,PRJNA344670,344670,SRS2184254,SAMN05830545,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038744,,,29515658,5830545,530,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,530_Chlortetracycline_32,5317_Florfenicol_0,530,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 530,Cattle,,,1,1,530_Chlortetracycline_32_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_32,True,True
SRX2804017,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534457,SRP106960,PRJNA344670,344670,SRS2184255,SAMN05830544,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038745,,,29515658,5830544,530,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,530_Chlortetracycline_16,5317_Florfenicol_0,530,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 530,Cattle,,,3,1,530_Chlortetracycline_16_3,,,True,True,True,Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_16,True,True
SRX2804019,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534455,SRP106960,PRJNA344670,344670,SRS2184257,SAMN05830542,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038747,,,29515658,5830542,530,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,530_Chlortetracycline_16,5317_Florfenicol_0,530,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 530,Cattle,,,1,1,530_Chlortetracycline_16_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_16,True,True
SRX2804020,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534454,SRP106960,PRJNA344670,344670,SRS2184258,SAMN05830541,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038748,,,29515658,5830541,530,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,530_Chlortetracycline_0,5317_Florfenicol_0,530,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 530,Cattle,,,3,1,530_Chlortetracycline_0_3,,,True,True,True,Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_0,True,True
SRX2804021,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534453,SRP106960,PRJNA344670,344670,SRS2184259,SAMN05830540,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038749,,,29515658,5830540,530,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,530_Chlortetracycline_0,5317_Florfenicol_0,530,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 530,Cattle,,,2,1,530_Chlortetracycline_0_2,,,True,True,True,Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_0,True,True
SRX2804022,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534452,SRP106960,PRJNA344670,344670,SRS2184260,SAMN05830539,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038750,,,29515658,5830539,530,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,530_Chlortetracycline_0,5317_Florfenicol_0,530,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 530,Cattle,,,1,1,530_Chlortetracycline_0_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_0,True,True
SRX2804023,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534451,SRP106960,PRJNA344670,344670,SRS2184261,SAMN05830571,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038751,,,29515658,5830571,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Chlortetracycline_16,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,3,1,5317_Chlortetracycline_16_3,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16,True,True
SRX2804024,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534450,SRP106960,PRJNA344670,344670,SRS2184262,SAMN05830548,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038752,,,29515658,5830548,1306,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,1306_Chlortetracycline_0,5317_Florfenicol_0,1306,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 1306,Cattle,,,1,1,1306_Chlortetracycline_0_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:1306_Chlortetracycline_0,True,True
SRX2804027,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534447,SRP106960,PRJNA344670,344670,SRS2184265,SAMN05830595,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038755,,,29515658,5830595,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Florfenicol_0,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,3,1,5317_Florfenicol_0_3,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Florfenicol_0,True,True
SRX2804028,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534446,SRP106960,PRJNA344670,344670,SRS2184266,SAMN05830594,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038756,,,29515658,5830594,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Florfenicol_0,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,2,1,5317_Florfenicol_0_2,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Florfenicol_0,True,True
SRX2804029,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534445,SRP106960,PRJNA344670,344670,SRS2184267,SAMN05830593,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038757,,,29515658,5830593,5317,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,5317_Florfenicol_0,5317_Florfenicol_0,5317,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 5317,Cattle,,,1,1,5317_Florfenicol_0_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:5317_Florfenicol_0,True,True
SRX2804030,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534444,SRP106960,PRJNA344670,344670,SRS2184268,SAMN05830592,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038758,,,29515658,5830592,1434,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,1434_Florfenicol_16,5317_Florfenicol_0,1434,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 1434,Cattle,,,3,1,1434_Florfenicol_16_3,,,True,True,True,Chlortetracycline_florfenicol_MDR:1434_Florfenicol_16,True,True
SRX2804031,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534443,SRP106960,PRJNA344670,344670,SRS2184269,SAMN05830591,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038759,,,29515658,5830591,1434,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,1434_Florfenicol_16,5317_Florfenicol_0,1434,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 1434,Cattle,,,2,1,1434_Florfenicol_16_2,,,True,True,True,Chlortetracycline_florfenicol_MDR:1434_Florfenicol_16,True,True
SRX2804032,6/22/17 0:01,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR5534442,SRP106960,PRJNA344670,344670,SRS2184270,SAMN05830590,SRA561439,RNA-Seq,cDNA,TRANSCRIPTOMIC,,UNITED STATES DEPARTMENT OF AGRICULTURE,0,0,4038760,,,29515658,5830590,1434,isolates,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,Chlortetracycline_florfenicol_MDR,1434_Florfenicol_16,5317_Florfenicol_0,1434,LB,,,Aerobic,,37C,,Early-log,0.15,30 min incubation at 37C with antibiotics,Salmonella enterica subsp. enterica serovar Typhimurium str. 1434,Cattle,,,1,1,1434_Florfenicol_16_1,,,True,True,True,Chlortetracycline_florfenicol_MDR:1434_Florfenicol_16,True,True
